Cylinders,Displacement,Horse_power,Weight,Acceleration,Model_year,Origin,Mpg
4,112.0,88,2605,19.6,82,1,"[25.0, 30.98]"
6,155.0,107,2472,14.0,73,1,"[20.0, 25.0]"
4,91.0,68,2025,18.2,82,3,"[30.98, 46.6]"
4,135.0,84,2370,13.0,82,1,"[30.98, 46.6]"
6,258.0,95,3193,17.8,76,1,"[16.0, 20.0]"
5,183.0,77,3530,20.1,79,2,"[25.0, 30.98]"
4,119.0,97,2300,14.7,78,3,"[25.0, 30.98]"
8,429.0,198,4341,10.0,70,1,"[9.0, 16.0]"
8,383.0,170,3563,10.0,70,1,"[9.0, 16.0]"
4,89.0,71,1925,14.0,79,2,"[30.98, 46.6]"
6,173.0,115,2595,11.3,79,1,"[25.0, 30.98]"
8,400.0,190,4422,12.5,72,1,"[9.0, 16.0]"
6,250.0,88,3139,14.5,71,1,"[16.0, 20.0]"
6,225.0,100,3651,17.7,76,1,"[20.0, 25.0]"
4,121.0,115,2795,15.7,78,2,"[20.0, 25.0]"
8,318.0,150,4077,14.0,72,1,"[9.0, 16.0]"
4,134.0,95,2560,14.2,78,3,"[25.0, 30.98]"
6,225.0,105,3613,16.5,74,1,"[16.0, 20.0]"
4,97.0,88,2279,19.0,73,3,"[20.0, 25.0]"
8,307.0,130,3504,12.0,70,1,"[16.0, 20.0]"
6,200.0,88,3060,17.1,81,1,"[20.0, 25.0]"
8,440.0,215,4312,8.5,70,1,"[9.0, 16.0]"
4,71.0,65,1773,19.0,71,3,"[30.98, 46.6]"
4,101.0,83,2202,15.3,76,2,"[25.0, 30.98]"
4,108.0,93,2391,15.5,74,3,"[25.0, 30.98]"
6,232.0,90,3085,17.6,76,1,"[20.0, 25.0]"
4,156.0,92,2620,14.4,81,1,"[25.0, 30.98]"
4,116.0,90,2123,14.0,71,2,"[25.0, 30.98]"
6,232.0,100,2914,16.0,75,1,"[20.0, 25.0]"
4,140.0,88,2870,18.1,80,1,"[25.0, 30.98]"
4,105.0,63,2125,14.7,82,1,"[30.98, 46.6]"
4,134.0,96,2702,13.5,75,3,"[20.0, 25.0]"
6,168.0,116,2900,12.6,81,3,"[25.0, 30.98]"
4,140.0,88,2720,15.4,78,1,"[25.0, 30.98]"
4,144.0,96,2665,13.9,82,3,"[30.98, 46.6]"
4,79.0,67,1950,19.0,74,3,"[30.98, 46.6]"
6,231.0,105,3535,19.2,78,1,"[16.0, 20.0]"
4,98.0,70,2120,15.5,80,1,"[30.98, 46.6]"
6,250.0,78,3574,21.0,76,1,"[16.0, 20.0]"
8,350.0,105,3725,19.0,81,1,"[25.0, 30.98]"
6,231.0,110,3907,21.0,75,1,"[16.0, 20.0]"
4,86.0,64,1875,16.4,81,1,"[30.98, 46.6]"
4,121.0,110,2660,14.0,73,2,"[20.0, 25.0]"
4,79.0,67,2000,16.0,74,2,"[30.98, 46.6]"
8,318.0,150,4135,13.5,72,1,"[9.0, 16.0]"
6,199.0,90,2648,15.0,70,1,"[20.0, 25.0]"
6,225.0,100,3430,17.2,78,1,"[20.0, 25.0]"
4,120.0,88,2160,14.5,82,3,"[30.98, 46.6]"
4,135.0,84,2490,15.7,81,1,"[25.0, 30.98]"
4,113.0,95,2278,15.5,72,3,"[20.0, 25.0]"
