Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,ConcreteCompressiveStrength
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7.0,"[2.33, 20.9599992]"
295.799988,0.0,0.0,185.699997,0.0,1091.400024,769.299988,7.0,"[2.33, 20.9599992]"
252.30000299999998,0.0,98.800003,146.300003,14.2,987.7999880000001,889.0,3.0,"[20.9599992, 30.927999]"
172.399994,13.6,172.399994,156.800003,4.1,1006.2999880000001,856.400024,28.0,"[30.927999, 39.0199996]"
162.0,214.0,164.0,202.0,10.0,820.0,680.0,28.0,"[20.9599992, 30.927999]"
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56.0,"[50.5139982, 82.599998]"
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14.0,"[50.5139982, 82.599998]"
154.800003,0.0,142.800003,193.300003,9.1,1047.400024,696.700012,28.0,"[2.33, 20.9599992]"
167.399994,129.899994,128.600006,175.5,7.8,1006.2999880000001,746.599976,56.0,"[50.5139982, 82.599998]"
277.0,0.0,0.0,191.0,0.0,968.0,856.0,14.0,"[20.9599992, 30.927999]"
251.399994,0.0,118.300003,192.899994,5.8,1043.599976,754.299988,100.0,"[39.0199996, 50.5139982]"
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7.0,"[20.9599992, 30.927999]"
153.0,102.0,0.0,192.0,0.0,888.0,943.099976,28.0,"[2.33, 20.9599992]"
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,7.0,"[20.9599992, 30.927999]"
397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28.0,"[30.927999, 39.0199996]"
275.100006,0.0,121.400002,159.5,9.9,1053.599976,777.5,56.0,"[50.5139982, 82.599998]"
154.0,144.0,112.0,220.0,10.0,923.0,658.0,28.0,"[2.33, 20.9599992]"
116.0,173.0,0.0,192.0,0.0,909.7999880000001,891.900024,90.0,"[30.927999, 39.0199996]"
387.0,20.0,94.0,157.0,13.9,938.0,845.0,56.0,"[39.0199996, 50.5139982]"
387.0,20.0,94.0,157.0,14.3,938.0,845.0,7.0,"[30.927999, 39.0199996]"
288.0,121.0,0.0,177.0,7.0,908.0,829.0,28.0,"[39.0199996, 50.5139982]"
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7.0,"[2.33, 20.9599992]"
158.800003,238.19999700000002,0.0,185.699997,0.0,1040.599976,734.299988,28.0,"[20.9599992, 30.927999]"
439.0,177.0,0.0,186.0,11.1,884.900024,707.900024,3.0,"[39.0199996, 50.5139982]"
192.0,288.0,0.0,192.0,0.0,929.7999880000001,716.099976,90.0,"[50.5139982, 82.599998]"
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28.0,"[20.9599992, 30.927999]"
173.5,50.099998,173.5,164.800003,6.5,1006.2000119999999,793.5,3.0,"[20.9599992, 30.927999]"
313.299988,145.0,0.0,178.5,8.0,1001.900024,688.700012,28.0,"[39.0199996, 50.5139982]"
173.800003,93.400002,159.899994,172.300003,9.7,1007.2000119999999,746.599976,28.0,"[30.927999, 39.0199996]"
165.0,128.5,132.100006,175.100006,8.1,1005.7999880000001,746.599976,14.0,"[30.927999, 39.0199996]"
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7.0,"[20.9599992, 30.927999]"
491.0,26.0,123.0,210.0,3.9,882.0,699.0,28.0,"[50.5139982, 82.599998]"
167.0,75.400002,167.0,164.0,7.9,1007.2999880000001,770.099976,100.0,"[50.5139982, 82.599998]"
276.399994,116.0,90.300003,179.600006,8.9,870.099976,768.299988,28.0,"[39.0199996, 50.5139982]"
330.5,169.600006,0.0,194.899994,8.1,811.0,802.299988,28.0,"[50.5139982, 82.599998]"
288.0,192.0,0.0,192.0,0.0,932.0,717.799988,90.0,"[50.5139982, 82.599998]"
229.69999700000002,0.0,118.199997,195.199997,6.1,1028.099976,757.599976,28.0,"[20.9599992, 30.927999]"
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180.0,"[30.927999, 39.0199996]"
333.0,0.0,0.0,192.0,0.0,931.2000119999999,842.599976,28.0,"[30.927999, 39.0199996]"
310.0,143.0,0.0,168.0,10.0,914.0,804.0,28.0,"[39.0199996, 50.5139982]"
