Inhabitants,Distance,Length
15.0,605.0,"[1721.1999999999998, 2471.6000000000004]"
13.0,696.669983,"[1721.1999999999998, 2471.6000000000004]"
25.0,443.329987,"[1721.1999999999998, 2471.6000000000004]"
22.0,373.329987,"[1262.8000000000002, 1721.1999999999998]"
19.0,340.0,"[813.4000000000001, 1262.8000000000002]"
21.0,523.330017,"[1262.8000000000002, 1721.1999999999998]"
34.0,240.0,"[80.0, 813.4000000000001]"
8.0,290.0,"[80.0, 813.4000000000001]"
23.0,395.0,"[1262.8000000000002, 1721.1999999999998]"
9.0,486.670013,"[813.4000000000001, 1262.8000000000002]"
41.0,500.0,"[2471.6000000000004, 7675.0]"
17.0,533.330017,"[1262.8000000000002, 1721.1999999999998]"
39.0,380.0,"[1262.8000000000002, 1721.1999999999998]"
12.0,165.0,"[80.0, 813.4000000000001]"
40.0,290.0,"[813.4000000000001, 1262.8000000000002]"
25.0,158.330002,"[80.0, 813.4000000000001]"
52.0,398.329987,"[1262.8000000000002, 1721.1999999999998]"
11.0,316.670013,"[80.0, 813.4000000000001]"
29.0,180.0,"[80.0, 813.4000000000001]"
5.0,186.669998,"[80.0, 813.4000000000001]"
56.0,320.0,"[813.4000000000001, 1262.8000000000002]"
19.0,443.329987,"[813.4000000000001, 1262.8000000000002]"
46.0,323.329987,"[813.4000000000001, 1262.8000000000002]"
6.0,300.0,"[80.0, 813.4000000000001]"
57.0,580.0,"[2471.6000000000004, 7675.0]"
78.0,813.330017,"[2471.6000000000004, 7675.0]"
26.0,590.0,"[1721.1999999999998, 2471.6000000000004]"
15.0,553.330017,"[1262.8000000000002, 1721.1999999999998]"
32.0,270.0,"[813.4000000000001, 1262.8000000000002]"
43.0,400.0,"[1262.8000000000002, 1721.1999999999998]"
39.0,396.670013,"[1262.8000000000002, 1721.1999999999998]"
11.0,293.329987,"[80.0, 813.4000000000001]"
25.0,360.0,"[813.4000000000001, 1262.8000000000002]"
28.0,673.330017,"[1721.1999999999998, 2471.6000000000004]"
57.0,666.669983,"[2471.6000000000004, 7675.0]"
20.0,900.0,"[2471.6000000000004, 7675.0]"
21.0,963.330017,"[1262.8000000000002, 1721.1999999999998]"
24.0,230.0,"[80.0, 813.4000000000001]"
24.0,420.0,"[1721.1999999999998, 2471.6000000000004]"
90.0,341.670013,"[1262.8000000000002, 1721.1999999999998]"
9.0,366.670013,"[813.4000000000001, 1262.8000000000002]"
39.0,326.670013,"[813.4000000000001, 1262.8000000000002]"
69.0,443.329987,"[1262.8000000000002, 1721.1999999999998]"
19.0,623.330017,"[1262.8000000000002, 1721.1999999999998]"
25.0,433.329987,"[1262.8000000000002, 1721.1999999999998]"
29.0,373.329987,"[1262.8000000000002, 1721.1999999999998]"
26.0,365.0,"[1262.8000000000002, 1721.1999999999998]"
79.0,416.670013,"[2471.6000000000004, 7675.0]"
31.0,718.330017,"[1721.1999999999998, 2471.6000000000004]"
29.0,541.669983,"[1721.1999999999998, 2471.6000000000004]"
28.0,448.329987,"[1262.8000000000002, 1721.1999999999998]"
1.0,120.0,"[80.0, 813.4000000000001]"
2.0,105.0,"[80.0, 813.4000000000001]"
1.0,80.0,"[80.0, 813.4000000000001]"
1.0,150.0,"[80.0, 813.4000000000001]"
28.0,456.670013,"[1262.8000000000002, 1721.1999999999998]"
19.0,138.330002,"[80.0, 813.4000000000001]"
57.0,211.669998,"[813.4000000000001, 1262.8000000000002]"
24.0,280.0,"[80.0, 813.4000000000001]"
40.0,361.670013,"[813.4000000000001, 1262.8000000000002]"
142.0,281.670013,"[1721.1999999999998, 2471.6000000000004]"
7.0,1000.0,"[1262.8000000000002, 1721.1999999999998]"
23.0,683.330017,"[1721.1999999999998, 2471.6000000000004]"
7.0,340.0,"[1262.8000000000002, 1721.1999999999998]"
2.0,380.0,"[80.0, 813.4000000000001]"
41.0,135.0,"[80.0, 813.4000000000001]"
26.0,86.66999799999999,"[80.0, 813.4000000000001]"
12.0,176.669998,"[80.0, 813.4000000000001]"
18.0,713.330017,"[1721.1999999999998, 2471.6000000000004]"
8.0,526.669983,"[813.4000000000001, 1262.8000000000002]"
75.0,346.670013,"[1262.8000000000002, 1721.1999999999998]"
70.0,591.669983,"[2471.6000000000004, 7675.0]"
31.0,476.670013,"[1262.8000000000002, 1721.1999999999998]"
23.0,303.329987,"[813.4000000000001, 1262.8000000000002]"
20.0,370.0,"[813.4000000000001, 1262.8000000000002]"
3.0,60.0,"[80.0, 813.4000000000001]"
4.0,210.0,"[80.0, 813.4000000000001]"
39.0,335.0,"[813.4000000000001, 1262.8000000000002]"
10.0,201.669998,"[80.0, 813.4000000000001]"
47.0,636.669983,"[1262.8000000000002, 1721.1999999999998]"
8.0,291.670013,"[80.0, 813.4000000000001]"
10.0,405.0,"[80.0, 813.4000000000001]"
35.0,396.670013,"[813.4000000000001, 1262.8000000000002]"
24.0,223.330002,"[80.0, 813.4000000000001]"
19.0,510.0,"[1721.1999999999998, 2471.6000000000004]"
26.0,393.329987,"[1262.8000000000002, 1721.1999999999998]"
16.0,266.670013,"[813.4000000000001, 1262.8000000000002]"
11.0,213.330002,"[80.0, 813.4000000000001]"
4.0,126.66999799999999,"[80.0, 813.4000000000001]"
34.0,518.330017,"[1721.1999999999998, 2471.6000000000004]"
27.0,763.330017,"[1721.1999999999998, 2471.6000000000004]"
27.0,533.330017,"[813.4000000000001, 1262.8000000000002]"
21.0,506.670013,"[1721.1999999999998, 2471.6000000000004]"
38.0,258.329987,"[80.0, 813.4000000000001]"
35.0,671.669983,"[1721.1999999999998, 2471.6000000000004]"
20.0,358.329987,"[80.0, 813.4000000000001]"
23.0,493.329987,"[1262.8000000000002, 1721.1999999999998]"
16.0,738.330017,"[1721.1999999999998, 2471.6000000000004]"
18.0,716.669983,"[1721.1999999999998, 2471.6000000000004]"
18.0,128.330002,"[80.0, 813.4000000000001]"
16.0,280.0,"[80.0, 813.4000000000001]"
19.0,323.329987,"[80.0, 813.4000000000001]"
45.0,603.330017,"[1721.1999999999998, 2471.6000000000004]"
