ClimbRate,Sgz,P,Q,CurRoll,AbsRoll,DiffClb,DiffRollRate,DiffDiffClb,SaTime1,SaTime2,SaTime3,SaTime4,DiffSaTime1,DiffSaTime2,DiffSaTime3,DiffSaTime4,Sa,Goal
-178,40,-0.11,0.13,1.1,-9,-12,-0.011000000000000001,0.0,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,"[0.017, 0.019]"
-122,9,0.27,0.05,0.0,-10,-2,-0.005,0.4,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,"[0.017, 0.019]"
196,-10,-0.44,0.1,0.6,-10,-7,0.003,0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,"[0.02, 0.024]"
507,-6,0.14,0.1,-0.2,-10,2,0.001,-0.7,-0.0007,-0.0006,-0.0006,-0.0006,-0.0001,0.0,0.0,0.0,-0.0006,"[0.024, 0.078]"
-189,-67,-0.6,-0.08,0.5,-14,17,-0.017,-0.7,-0.0013,-0.0013,-0.0013,-0.0013,0.0,0.0,0.0,0.0,-0.0013,"[0.017, 0.019]"
-22,22,0.14,0.04,-0.7,-9,4,0.011000000000000001,-0.9,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,"[0.024, 0.078]"
-119,-5,-0.13,0.06,1.0,-8,-5,-0.004,0.0,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,"[0.017, 0.019]"
-184,-10,0.37,-0.03,-0.3,-15,15,0.013999999999999999,-0.5,-0.0008,-0.0007,-0.0007,-0.0007,-0.0003,0.0,0.0,0.0,-0.0007,"[0.017, 0.019]"
-25,-17,-0.16,0.1,0.4,-19,6,0.011000000000000001,0.2,-0.0011,-0.0011,-0.0011,-0.0011,0.0,0.0,0.0,0.0,-0.0011,"[0.024, 0.078]"
-178,-4,-0.22,0.0,0.4,-6,1,-0.006,0.0,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.017, 0.019]"
-373,34,0.06,0.12,-0.1,-9,-11,0.004,0.0,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.017, 0.019]"
123,-11,0.1,-0.02,-0.7,-7,2,0.004,-0.1,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,"[0.017, 0.019]"
-213,-19,-0.25,-0.03,0.9,-5,3,0.001,-0.2,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,"[0.017, 0.019]"
38,-34,-0.19,-0.09,0.4,-8,10,-0.003,0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.012, 0.017]"
-116,-43,-0.45,0.03,0.1,-11,5,-0.015,-0.7,-0.0008,-0.001,-0.001,-0.001,0.0002,0.0,0.0,0.0,-0.001,"[0.02, 0.024]"
301,-17,-0.06,0.02,-0.5,-7,-2,-0.003,0.4,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.02, 0.024]"
-300,-37,0.76,0.14,-0.1,-14,-9,-0.001,0.6,-0.0012,-0.001,-0.001,-0.001,-0.0003,0.0,0.0,0.0,-0.001,"[0.024, 0.078]"
-141,-39,-0.33,0.01,0.4,-13,8,-0.009,-0.8,-0.0011,-0.0011,-0.0011,-0.0011,0.0,0.0,0.0,0.0,-0.0011,"[0.024, 0.078]"
10,-26,-0.38,0.21,1.7,-13,-16,-0.046,-0.1,-0.0016,-0.0016,-0.0016,-0.0016,0.0,0.0,0.0,0.0,-0.0016,"[0.02, 0.024]"
600,18,0.24,0.24,-0.2,-8,-6,0.007,-3.9,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,"[0.02, 0.024]"
-148,12,0.48,-0.11,1.5,-5,27,0.003,-3.8,-0.0003,-0.0002,-0.0002,-0.0002,-0.0002,0.0,0.0,0.0,-0.0002,"[0.012, 0.017]"
90,-42,0.13,-0.01,0.5,-14,8,0.007,0.4,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,"[0.02, 0.024]"
343,-35,0.51,-0.09,-0.9,-12,15,0.019,-0.1,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,"[0.019, 0.02]"
-64,-8,-0.13,0.08,2.0,-8,-8,-0.033,0.1,-0.0011,-0.0011,-0.0011,-0.0011,0.0,0.0,0.0,0.0,-0.0011,"[0.019, 0.02]"
-310,-94,-0.23,-0.15,0.6,-14,29,-0.013000000000000001,-1.1,-0.0009,-0.001,-0.001,-0.0012,0.0001,0.0,0.0001,0.0,-0.0012,"[0.012, 0.017]"
-148,-10,0.22,0.07,-0.5,-11,-2,0.007,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,"[0.024, 0.078]"
445,-22,-0.51,0.14,0.1,-11,-9,-0.009,-1.7,-0.0007,-0.0008,-0.0008,-0.0009,0.0001,0.0,0.0001,0.0,-0.0009,"[0.02, 0.024]"
-452,-12,-0.44,-0.04,0.5,-8,5,0.005,0.3,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,"[0.012, 0.017]"
-571,-27,-0.13,-0.05,0.8,-5,5,-0.012,-0.6,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.012, 0.017]"
-57,-15,0.31,0.08,-0.5,-19,11,0.011000000000000001,-0.3,-0.0015,-0.0013,-0.0013,-0.0012,-0.0003,0.0,-0.0002,0.0,-0.0012,"[0.024, 0.078]"
-327,-23,-0.15,0.14,-0.6,-13,-5,-0.003,-0.2,-0.0014,-0.0014,-0.0014,-0.0014,0.0,0.0,0.0,0.0,-0.0014,"[0.024, 0.078]"
548,15,0.45,0.31,-2.7,-15,1,0.028999999999999998,-6.6,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,"[0.02, 0.024]"
-202,13,-0.08,0.25,-2.2,-16,-16,0.006,0.0,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,"[0.019, 0.02]"
223,-13,0.39,-0.02,-0.3,-15,12,0.011000000000000001,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,"[0.024, 0.078]"
467,-13,-0.17,0.09,-0.7,-14,-3,0.009,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,"[0.02, 0.024]"
-332,-27,-0.07,0.02,1.7,-11,-5,-0.01,0.6,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,"[0.017, 0.019]"
366,14,-0.3,0.22,0.1,-13,-9,-0.005,-1.6,-0.0008,-0.0009,-0.0009,-0.0009,0.0001,0.0,0.0,0.0,-0.0009,"[0.02, 0.024]"
-147,-4,0.12,0.04,0.6,-6,2,-0.011000000000000001,-0.3,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,"[0.02, 0.024]"
79,2,-0.38,0.15,2.4,-14,-9,-0.018000000000000002,0.2,-0.0009,-0.0011,-0.0011,-0.0012,0.0001,0.0,0.0001,0.0,-0.0012,"[0.02, 0.024]"
233,-50,0.25,-0.17,2.1,-4,16,-0.02,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,"[0.019, 0.02]"
188,-15,-0.02,0.14,0.5,-9,-16,-0.013999999999999999,0.9,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,"[0.02, 0.024]"
-48,-9,-0.28,0.04,-0.8,-8,-2,0.007,0.0,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,"[0.017, 0.019]"
-342,6,0.12,0.09,0.4,-15,1,0.002,0.7,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,"[0.02, 0.024]"
-19,-11,0.25,0.17,0.7,-15,-5,0.003,-0.2,-0.0014,-0.0014,-0.0014,-0.0014,0.0,0.0,0.0,0.0,-0.0014,"[0.024, 0.078]"
-234,-2,-0.06,0.13,-0.9,-8,-12,0.003,-0.2,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,"[0.012, 0.017]"
-168,-12,0.05,0.09,-0.8,-7,-10,0.004,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,"[0.017, 0.019]"
-50,-22,0.18,-0.01,0.7,-5,2,-0.004,0.4,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,"[0.019, 0.02]"
-298,8,0.05,0.21,-1.0,-20,-5,0.006,-0.1,-0.0011,-0.0011,-0.0011,-0.0011,0.0,0.0,0.0,0.0,-0.0011,"[0.02, 0.024]"
52,-14,-0.09,0.02,-0.7,-14,11,0.008,-1.2,-0.0006,-0.0007,-0.0007,-0.0007,0.0001,0.0,0.0,0.0,-0.0007,"[0.02, 0.024]"
-5,-12,-0.48,-0.15,-2.5,-16,23,0.023,1.6,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,"[0.017, 0.019]"
-184,-29,0.42,0.07,-0.4,-19,6,0.016,1.4,-0.0016,-0.0014,-0.0014,-0.0014,-0.0003,0.0,0.0,0.0,-0.0014,"[0.024, 0.078]"
106,-43,0.52,-0.19,0.6,-9,21,0.0,0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,"[0.024, 0.078]"
-224,-46,0.35,0.05,-0.1,-6,-4,-0.003,-1.0,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,"[0.012, 0.017]"
-198,-17,-0.4,0.04,-0.7,-14,3,0.005,0.0,-0.0007,-0.0008,-0.0008,-0.0008,0.0001,0.0,0.0,0.0,-0.0008,"[0.017, 0.019]"
-281,3,0.14,0.07,0.0,-6,4,-0.011000000000000001,-2.4,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.017, 0.019]"
24,-31,0.53,-0.02,-1.4,-11,7,0.026000000000000002,-0.6,-0.0002,-0.0002,-0.0002,-0.0002,0.0,0.0,0.0,0.0,-0.0002,"[0.02, 0.024]"
-101,33,-0.07,0.07,-0.7,-8,-6,-0.003,0.0,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.017, 0.019]"
-265,-1,-0.08,0.04,1.2,-7,-3,-0.006,0.0,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.017, 0.019]"
366,-10,-0.31,0.09,-0.9,-11,-7,0.01,0.4,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.02, 0.024]"
-325,-27,-0.1,0.01,0.4,-6,-1,-0.004,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,"[0.017, 0.019]"
-91,-13,-0.03,-0.04,1.5,-6,5,-0.009,-0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,"[0.017, 0.019]"
299,-41,-0.17,-0.03,-0.8,-9,6,0.0,0.0,-0.0004,-0.0005,-0.0005,-0.0006,0.0001,0.0,0.0,0.0,-0.0006,"[0.02, 0.024]"
-122,6,0.26,-0.02,-0.4,-7,3,0.003,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,-0.0001,0.0,0.0,0.0,-0.0004,"[0.017, 0.019]"
-358,21,-0.09,0.37,-1.1,-20,-21,0.01,0.2,-0.0011,-0.0011,-0.0011,-0.0011,0.0,0.0,0.0,0.0,-0.0011,"[0.02, 0.024]"
-343,-2,0.15,0.1,0.1,-12,-6,0.002,-0.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0.0,-0.0002,0.0,-0.0007,"[0.02, 0.024]"
-599,-83,-0.47,-0.29,1.3,-9,32,-0.006,2.8,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,"[0.012, 0.017]"
52,-47,0.0,0.15,1.1,-10,-13,-0.027000000000000003,0.3,-0.001,-0.0011,-0.0011,-0.0011,0.0001,0.0,0.0,0.0,-0.0011,"[0.02, 0.024]"
